anomes_abt,id_cliente,nome,idade,tempo_de_conta_em_anos,segmento,att_vinculo_empregaticio,vinculo_empregaticio,salario_estimado,saldo_em_conta,reng_ult_3_meses,contato_ult_3meses,qtd_contratos_em_atraso,saldo_em_atraso,combo_produtos_em_atraso,maior_atraso,renegociou_no_mes_seguinte
202305,478301747,Mariane Vargas,27,9,IU,0,Empregado,16856.343857394404,3657.4578386823914,0,0,3,28920.953143018807,IMOBILIARIO,42,0
202303,199353015,Ana Vitória da Cruz,25,7,IU,0,Autônomo,10491.873583222408,17247.85567513922,0,0,2,7315.28721886412,"VEICULO, IMOBILIARIO, CARTAO",119,1
202303,234993261,Sr. Felipe Pinto,54,36,IP,0,Empregado,21339.01791518179,7907.457851576074,0,0,4,47573.810545428736,"IMOBILIARIO, CARTAO, VEICULO",104,0
202303,462886443,Mariah Barbosa,21,3,IP,0,Autônomo,22872.576895504077,21589.242690052437,1,1,3,11258.230249853872,"CARTAO, VEICULO, IMOBILIARIO",15,1
202301,730898139,Caio Andrade,29,11,IA,0,Empregado,4559.427584413514,1558.7153628811927,0,1,4,41297.36873023746,"VEICULO, IMOBILIARIO, CARTAO",108,0
202303,546040789,Lorena Nogueira,69,51,IU,1,Empregado,19970.92687501148,6185.6333626635,0,0,2,41839.24986744023,"CARTAO, IMOBILIARIO, VEICULO",69,0
202303,901977890,Mateus Cirino,27,9,IU,0,Empregado,17468.66751349961,5776.264350205188,1,0,3,28588.902226066435,CARTAO,15,0
202301,271327357,Sr. Vitor Andrade,54,36,IP,0,Empregado,20988.078533508124,4883.714216330148,1,0,2,15760.536901284142,"VEICULO, CARTAO",59,0
202304,950766318,Sara Moura,30,12,IA,0,Empregado,8131.405592750709,1884.8804794901337,0,1,4,26332.77082264125,CARTAO,5,0
202306,224051337,Isabel Guerra,28,10,IA,1,Empregado,2915.924679981741,301.117692698109,0,0,3,19686.14870390128,VEICULO,55,0
202305,192747165,Eduardo Pacheco,26,8,IU,0,Empregado,17371.357352327403,3582.932101125127,1,1,5,9019.080979982626,IMOBILIARIO,86,0
202303,953459194,Sara Sousa,25,7,IA,0,Empregado,4305.355484583107,1462.3320395315848,1,1,2,10825.992754402798,"IMOBILIARIO, CARTAO",25,1
202301,708620173,Maria Luiza Mendonça,51,33,IA,0,Empregado,6178.085218529785,2085.062188752702,0,1,1,41490.64599097782,IMOBILIARIO,95,1
202302,403045085,Caroline da Cruz,27,10,IU,0,Desempregado,0.0,202.89322732875905,0,1,5,22221.990375750767,VEICULO,47,0
202304,711508721,Dra. Maysa Jesus,49,31,IA,0,Empregado,5911.574763303151,1957.915119198197,0,0,3,14812.637409987292,"CARTAO, VEICULO",41,0
202305,348987656,Sra. Ana Vitória Araújo,20,2,IP,0,Desempregado,0.0,266.1924153034114,0,1,3,33152.217858460644,CARTAO,104,0
202303,751121470,Liam Fonseca,32,14,IP,0,Empregado,29498.220264873675,4165.872333155142,0,0,2,31746.185083482527,CARTAO,68,0
202301,182518075,Sr. Pedro Henrique Monteiro,30,12,IP,0,Empregado,,,0,0,5,45178.401434984575,"VEICULO, CARTAO, IMOBILIARIO",28,1
202302,401157942,Sara Machado,34,16,IP,0,Desempregado,0.0,802.3400000576705,0,0,5,25082.699895203,"CARTAO, IMOBILIARIO, VEICULO",22,0
202306,430193599,Ana Vitória da Cruz,66,48,IA,0,Empregado,8650.773059397336,1137.6331871970158,1,0,4,32940.36459581888,"CARTAO, IMOBILIARIO",117,0
202303,564367736,João Pedro Castro,37,19,IU,1,Desempregado,0.0,308.97757554032444,0,0,4,28106.31772118153,CARTAO,44,0
202303,983370177,Murilo Lima,25,7,IP,0,Autônomo,2828.4209811019173,11031.599827274891,0,0,5,21232.927297656563,VEICULO,45,0
202304,252227862,Isabela Costela,21,3,IA,0,Empregado,4735.131534760937,1357.1416088731828,0,0,4,15300.533177817688,"VEICULO, IMOBILIARIO, CARTAO",83,1
202305,945634034,José Miguel Caldeira,31,13,IA,0,Empregado,9711.11161932885,3702.012044393559,0,0,2,10269.720206725971,"VEICULO, CARTAO",29,0
202306,100905503,Ryan Borges,29,11,IU,0,Empregado,10803.468555760332,4097.605315514756,1,0,1,41254.76301995727,"IMOBILIARIO, CARTAO, VEICULO",54,0
202304,261006682,André Cavalcanti,29,11,IA,0,Empregado,,,1,0,3,39279.80134324387,"IMOBILIARIO, CARTAO",98,1
202303,132188671,Ana Laura Pinto,18,0,IA,0,Autônomo,5661.911272700309,17231.979320658287,0,1,5,49610.570349188936,"VEICULO, IMOBILIARIO",96,0
202302,943677182,Marcelo Campos,27,9,IP,0,Empregado,27532.213124760667,8712.31003014641,0,0,1,23638.52041524218,"IMOBILIARIO, VEICULO, CARTAO",13,1
202302,745132133,Maya Fogaça,66,48,IA,0,Empregado,2297.593814842852,336.6628019483099,0,1,4,40437.36067295319,"VEICULO, CARTAO, IMOBILIARIO",37,0
202306,488436316,Srta. Ísis Porto,46,28,IA,0,Autônomo,28141.86162611958,13820.144111003494,0,0,5,20054.775060540906,"VEICULO, CARTAO, IMOBILIARIO",46,0
202304,249016421,Josué Alves,67,49,IU,0,Empregado,13399.545257480208,4579.037571332701,1,0,2,11259.558101283345,"VEICULO, IMOBILIARIO",33,0
202301,260036296,Olívia Monteiro,55,37,IA,0,Empregado,2584.690686603949,882.5199781508371,0,0,1,45980.74986275366,"CARTAO, IMOBILIARIO, VEICULO",38,1
202301,546141758,Bella Carvalho,41,23,IP,0,Desempregado,0.0,974.3095107025256,0,0,2,19762.17907999464,"IMOBILIARIO, VEICULO, CARTAO",17,0
202304,748730383,José Cavalcante,28,10,IA,0,Empregado,2409.098111439788,717.6803550690784,1,0,3,10213.746426877437,VEICULO,74,0
202303,696300619,Ana Sophia Lopes,34,16,IU,1,Desempregado,0.0,61.74503473531912,0,0,1,47397.01031863769,CARTAO,74,0
202302,585693797,Luiz Miguel Farias,58,40,IP,0,Empregado,25387.9290272338,8222.377615023564,1,0,4,36876.25031472119,"IMOBILIARIO, CARTAO, VEICULO",60,0
202305,370743043,Clarice da Rocha,54,36,IA,0,Autônomo,,8901.061724342779,0,0,3,9044.05698324556,"IMOBILIARIO, CARTAO, VEICULO",65,0
202306,550731770,Carlos Eduardo Guerra,26,8,IU,0,Empregado,17520.105330953735,3366.4847712354585,0,0,5,5118.414632661133,VEICULO,117,0
202302,917106027,Cecília Garcia,61,42,IA,0,Empregado,3575.1834860902613,1313.0213349419969,0,0,3,6622.56004693276,"IMOBILIARIO, VEICULO, CARTAO",74,1
202302,636471917,Bernardo Barbosa,57,39,IA,0,Empregado,6963.63192232344,2350.305111455692,0,1,2,40068.94724922632,"IMOBILIARIO, CARTAO",74,0
202303,609928317,Maria Sophia Cirino,48,30,IP,0,Empregado,24439.65115167709,3800.864305877865,0,0,4,37959.19201702121,"CARTAO, VEICULO, IMOBILIARIO",70,0
202306,659818681,Caleb Aragão,31,13,IP,0,Desempregado,0.0,738.1818874887217,1,0,1,5565.372734582701,"IMOBILIARIO, CARTAO, VEICULO",43,0
202304,344779440,Ana Santos,31,13,IA,0,Desempregado,0.0,798.2851685290518,1,0,2,26543.636452759438,"CARTAO, VEICULO",8,0
202302,184462820,Kevin Sales,56,38,IU,0,Empregado,14754.586689865126,2830.3105870749114,0,1,4,6538.49933226653,"IMOBILIARIO, VEICULO, CARTAO",98,0
202306,971696978,Srta. Sofia Gonçalves,49,31,IA,0,Empregado,3729.704381139908,541.5696766123358,0,1,1,38036.86662617846,"IMOBILIARIO, VEICULO, CARTAO",81,1
202305,585250324,Joaquim Carvalho,29,11,IP,0,Empregado,24696.258234464432,3718.068475311419,0,0,5,39481.59615207939,"VEICULO, IMOBILIARIO, CARTAO",13,0
202306,877564713,Luiz Felipe Ferreira,31,13,IA,1,Empregado,9885.35697942588,1729.6813539318705,0,1,4,3926.0284277884302,"IMOBILIARIO, VEICULO, CARTAO",83,1
202305,707664855,Dra. Isadora Sampaio,46,28,IA,0,Empregado,,,0,0,4,39710.78967792507,VEICULO,84,0
202303,314218652,Sr. Arthur Pimenta,32,14,IA,0,Empregado,7997.725319749813,1933.1931382451944,1,0,4,49580.76315079833,"VEICULO, IMOBILIARIO, CARTAO",75,0
202305,532747022,Breno das Neves,39,21,IA,1,Autônomo,8567.202343369725,6147.33648455356,0,0,4,15201.73313454769,"VEICULO, IMOBILIARIO, CARTAO",75,0
202303,608857707,Ana Clara Pereira,33,15,IU,0,Empregado,11139.828130247912,1341.7675560164748,0,0,4,33744.94345710291,"CARTAO, IMOBILIARIO, VEICULO",40,1
202303,908107806,Enrico Nunes,29,11,IA,0,Empregado,,,0,1,1,15810.680935783932,"CARTAO, VEICULO, IMOBILIARIO",74,1
202302,362920130,Cauã Garcia,27,9,IA,0,Empregado,4900.930726277566,520.7067308317545,0,0,4,31830.633498978063,"IMOBILIARIO, VEICULO, CARTAO",120,0
202303,193429353,Sra. Larissa Melo,33,15,IU,0,Empregado,17051.78240635096,5650.254271871633,0,0,1,3540.519705629269,"CARTAO, IMOBILIARIO, VEICULO",80,1
202306,444132724,Augusto Monteiro,21,3,IP,0,Autônomo,3936.004495231941,14336.397266519143,0,1,4,25657.038011547495,"CARTAO, IMOBILIARIO, VEICULO",52,0
202303,533020417,Juliana Casa Grande,50,31,IP,0,Desempregado,0.0,540.9759443285359,0,0,5,3219.260706792395,CARTAO,13,0
202303,276763565,Gustavo Henrique Camargo,20,2,IA,0,Desempregado,0.0,322.36541126195084,0,0,4,13479.72626784031,VEICULO,54,0
202304,888707384,Zoe Nunes,47,29,IA,1,Empregado,7659.084260660846,996.8666389457176,0,0,1,16486.47636360803,"CARTAO, IMOBILIARIO, VEICULO",94,1
202304,918864026,Clarice da Conceição,28,10,IU,0,Empregado,17101.79228737438,5018.105422187257,0,1,4,48499.77178164053,"IMOBILIARIO, VEICULO",20,0
202303,896701874,Léo Azevedo,59,41,IU,0,Empregado,19954.400170626093,6552.57392777138,0,0,4,7463.58564613142,"CARTAO, IMOBILIARIO",40,0
202304,487627171,Pietra Peixoto,20,3,IA,0,Autônomo,16073.054019167706,27573.575502136584,0,1,2,46637.47814594889,IMOBILIARIO,104,0
202306,250249575,Thales da Mata,60,42,IA,0,Empregado,8085.172197046258,890.6307839496915,0,0,1,32390.069114727816,"IMOBILIARIO, VEICULO",58,0
202304,707191953,Maria Vitória Araújo,63,45,IU,0,Desempregado,0.0,191.95049195738932,0,1,1,10167.338614341064,"CARTAO, VEICULO, IMOBILIARIO",71,1
202302,697177543,Sabrina Vasconcelos,32,14,IA,0,Empregado,5600.932763508987,921.0830838298892,0,0,2,36115.31954312552,"VEICULO, CARTAO, IMOBILIARIO",96,0
202306,932131954,Vitória Sampaio,45,28,IA,0,Empregado,,,0,0,5,47475.82121240355,"IMOBILIARIO, VEICULO",95,1
202306,771382249,Yuri Andrade,31,13,IA,0,Empregado,8152.6762103986,2301.61801783962,0,0,2,16705.49609026754,"IMOBILIARIO, CARTAO, VEICULO",99,0
202306,772024076,Vitor Gabriel Rocha,61,43,IU,0,Empregado,17655.70189521436,5613.684637284657,0,0,4,5758.7156381467,"VEICULO, CARTAO, IMOBILIARIO",79,0
202303,198816570,Sra. Aurora da Costa,18,0,IU,0,Empregado,,,0,1,1,5577.856333729584,"IMOBILIARIO, VEICULO, CARTAO",72,1
202301,422376563,Arthur Campos,28,10,IP,0,Desempregado,0.0,309.1702985813632,1,0,1,13891.015078725564,"IMOBILIARIO, VEICULO",28,0
202303,469989543,Fernando Nascimento,49,31,IA,0,Empregado,4471.678075109707,1512.1748550467532,0,1,3,16757.467167804047,"IMOBILIARIO, CARTAO",62,1
202303,737622438,Henry Barbosa,27,9,IU,0,Autônomo,14131.07153965056,12259.98457016421,0,1,5,16557.212495243002,"CARTAO, VEICULO",14,0
202302,444696161,Zoe da Luz,66,48,IU,0,Empregado,,,1,1,3,2476.8233600923318,"CARTAO, VEICULO",86,1
202301,718532414,Rebeca Aparecida,39,21,IU,1,Empregado,17911.009133280066,6056.1260042148,0,0,3,5136.757085691899,"IMOBILIARIO, VEICULO, CARTAO",31,1
202303,765055987,Sra. Bruna Aparecida,29,11,IU,0,Empregado,17822.170686374393,4263.438964468037,0,0,5,13078.058277826014,IMOBILIARIO,39,0
202305,265909311,Juan Vargas,35,17,IU,0,Empregado,14339.053804311672,1412.694596309051,0,1,1,4552.348169439356,"IMOBILIARIO, VEICULO",115,0
202304,467976839,Maria Sophia Monteiro,68,50,IA,0,Empregado,4681.006835742787,1465.1378295263532,1,0,5,42446.85029313676,"IMOBILIARIO, CARTAO, VEICULO",20,0
202304,789261750,Luiz Felipe Oliveira,35,16,IP,0,Empregado,21269.17338325501,8494.588177540607,1,1,1,43977.7463106768,"VEICULO, CARTAO, IMOBILIARIO",28,1
202303,214360946,Ian Araújo,63,44,IA,0,Desempregado,0.0,754.133553982445,0,0,4,25228.6993809564,"VEICULO, IMOBILIARIO, CARTAO",106,0
202302,566328476,Dra. Yasmin Cirino,34,16,IP,0,Empregado,28632.140668905584,6813.2674467891,0,0,4,43580.03025910585,CARTAO,39,0
202305,422590594,Joana Albuquerque,26,8,IU,0,Empregado,16218.270163823876,5210.188893008797,0,1,5,47797.45557463856,"CARTAO, IMOBILIARIO",78,0
202301,713634721,Kamilly Leão,44,26,IU,0,Desempregado,0.0,286.00810516298225,0,0,4,33219.02965160592,IMOBILIARIO,92,0
202303,966013121,Igor Jesus,34,16,IA,0,Empregado,8785.301328354024,2123.301905408733,1,0,2,12456.19358008191,IMOBILIARIO,51,1
202305,308072210,Ana Liz Rocha,52,34,IA,1,Empregado,,,0,1,1,32592.761746275653,VEICULO,17,1
202302,527739855,Ana Cecília Montenegro,59,41,IA,0,Empregado,5709.5064324958985,1129.2766957596798,0,0,5,32004.759914717717,"VEICULO, IMOBILIARIO",29,0
202304,681344415,Benjamim Correia,57,39,IA,0,Desempregado,0.0,739.0524054252538,0,0,5,3282.888580153733,"CARTAO, IMOBILIARIO, VEICULO",114,0
202305,738335244,Ana Carolina Cavalcante,18,0,IA,0,Empregado,6854.353126218078,1253.0302305052564,0,0,4,31613.99324423265,"VEICULO, IMOBILIARIO, CARTAO",81,0
202303,375597206,Ana Júlia Monteiro,67,49,IA,0,Empregado,4526.202154999653,772.4438439922673,0,1,2,27889.80266327525,VEICULO,48,0
202305,367394651,Luiz Miguel Nunes,20,2,IA,0,Empregado,9576.302746965872,2353.8452519524376,0,0,1,36682.251590749256,"IMOBILIARIO, CARTAO, VEICULO",72,1
202303,446875956,José Pedro Moreira,49,31,IA,0,Desempregado,0.0,906.5333966607984,0,0,1,45736.29371010762,"CARTAO, VEICULO, IMOBILIARIO",2,1
202301,369618697,Otávio Araújo,31,12,IU,0,Empregado,,,0,0,4,11058.55893087944,"CARTAO, VEICULO, IMOBILIARIO",16,0
202305,101856387,Eloah Araújo,30,12,IA,0,Desempregado,0.0,290.1155376173073,0,0,1,9067.430452634704,"VEICULO, IMOBILIARIO",85,0
202305,348053691,Dr. Gabriel Mendonça,52,34,IA,0,Desempregado,0.0,207.05300317144827,0,0,4,32235.89173474124,VEICULO,43,0
202306,691001660,Isaque Sales,56,38,IA,0,Empregado,8024.881381621662,3126.58586285181,0,0,3,48757.63607235813,VEICULO,55,0
202306,543692542,Ian Cunha,30,12,IA,0,Autônomo,22564.239061084158,1348.3656215335104,0,0,1,37376.57512250504,"IMOBILIARIO, VEICULO, CARTAO",62,0
202302,168646179,Caleb Costela,49,31,IU,0,Empregado,18497.68442640065,5652.358995306384,1,0,5,44140.32370934088,"CARTAO, IMOBILIARIO",84,0
202301,430749088,Antônio Siqueira,60,42,IA,0,Empregado,,,1,0,1,26428.205748634475,IMOBILIARIO,31,1
202303,217734861,Enzo Gabriel Nascimento,30,12,IA,0,Empregado,8113.049386724924,3111.055230406854,0,0,2,41463.86995080176,"IMOBILIARIO, VEICULO, CARTAO",61,0
202303,378966292,Dr. Luiz Fernando Freitas,26,8,IA,0,Desempregado,0.0,187.119739758878,0,0,2,17875.7974229231,IMOBILIARIO,13,0
202305,555930449,Breno Costa,57,39,IU,0,Autônomo,,28184.475831977645,0,1,1,15407.419494169446,"IMOBILIARIO, VEICULO, CARTAO",60,1
202306,720248205,Josué Almeida,30,12,IU,0,Empregado,15739.957745657812,3552.8918778242187,0,0,1,44215.84687939264,"IMOBILIARIO, CARTAO, VEICULO",81,0
202303,470755031,Rafael Barros,20,2,IP,0,Empregado,23461.818564748653,8908.1042336512,0,0,5,42821.057586375246,"IMOBILIARIO, VEICULO, CARTAO",107,0
202302,272230836,Emanuella Leão,40,22,IA,0,Empregado,2301.8087601333327,701.945508557,0,0,3,36655.66805102661,"VEICULO, IMOBILIARIO",109,0
202302,793082286,Dr. Vitor Gabriel Siqueira,27,9,IA,0,Empregado,7167.68434134972,1570.7305388293792,0,0,5,44230.777789522224,"IMOBILIARIO, CARTAO",51,0
202305,563988769,Helena Peixoto,29,11,IP,0,Empregado,,,1,0,1,34057.88493637557,"VEICULO, IMOBILIARIO",93,1
202306,873372050,Calebe Pacheco,65,47,IA,0,Empregado,9393.144489102971,2082.804931328091,1,0,4,43533.51884971082,"CARTAO, IMOBILIARIO, VEICULO",77,0
